Paragraph,Targets,Rule
1,food,amod-nmod
5,overalls,amod-nmod
6,techniques,amod-nmod
12,fashion,amod-nmod
4,jeans,amod-nmod1
21,copper,amod-nmod1
26,jeans,amod-nmod1
2,denim,amod-root
14,denim,amod-root
3,perve,amod-dobj
8,techniques,amod-dobj
11,pieces,amod-dobj
13,piece,amod-dobj
3,mags,advmod-nmod
4,Market,amod-aclrel
14,denim,amod-aclrel
4,mortal,neg-nmod:as
3,perve,root-dobj
9,idea,root-dobj
21,riverbed,root-dobj
25,consumers,root-dobj
4,mortal,cop-nmodas
7,survive,advmod-conjb
7,three,conjb-nmodw
8,share,root-xcomp
25,embrace,root-xcomp
8,techniques,advcl-dobj
15,brand,advcl-dobj
,Total targets found:,28
,Accuracy:,0.28
